,r,r,r,r,r,r,r,r,r,r,mean_reward,timesteps
45,-617.714586,-1328.499912,-1584.01268,-769.2973969999999,-962.695801,-1612.6483859999998,-1654.882418,-1163.159306,-772.391943,-977.4031279999999,-1144.2705557,9200
46,-1703.671391,-1352.066318,-827.05214,-959.331232,-1653.989847,-1631.884033,-1399.0973960000001,-889.0929480000001,-886.3186189999999,-961.693985,-1226.4197909,9400
47,-741.827276,-1296.0546160000001,-756.715743,-1579.964528,-1743.464229,-1161.234325,-876.4475160000001,-961.70375,-1469.784873,-1287.9419300000002,-1187.5138786000002,9600
48,-759.420131,-1320.1272060000001,-1349.884752,-1348.68539,-1712.5969940000002,-1736.126171,-1539.2262349999999,-1779.4920350000002,-1084.637255,-1436.65202,-1406.6848189,9800
49,-1280.8768599999999,-1659.3102789999998,-1192.338041,-1812.575266,-1354.1512599999999,-1479.9985609999999,-1753.268301,-1073.232451,-1358.78147,-1507.764455,-1447.2296944,10000
50,-1330.409962,-1794.391443,-1615.749279,-1500.553523,-1361.838294,-1733.208298,-1074.325644,-1390.441808,-1684.782113,-1456.61483,-1494.2315194,10200
51,-1699.34696,-1592.6225880000002,-1441.117906,-1327.913787,-1816.6457260000002,-903.0207960000001,-1343.345507,-1299.766931,-1524.409382,-1577.518922,-1452.5708505,10400
52,-1573.268359,-1398.859119,-1375.0526220000002,-1822.4913179999999,-938.4886859999999,-1392.611507,-1450.385075,-1441.362899,-1664.732621,-1623.927498,-1468.1179704,10600
53,-1410.3174689999998,-1403.345666,-1629.6174210000001,-1081.7464400000001,-1490.121136,-1352.090241,-1773.651404,-1753.252722,-1560.964269,-1470.63655,-1492.5743318,10800
54,-1752.042064,-1074.54412,-990.4636289999999,-1436.714271,-1552.088451,-1495.8531990000001,-1809.228913,-1445.946347,-1326.1323810000001,-1622.583832,-1450.5597206999998,11000
55,-889.1936609999999,-1496.7488560000002,-1525.860566,-1399.9153,-1478.4705470000001,-1819.4137420000002,-1571.2505390000001,-1455.8557150000001,-1447.960933,-1013.973566,-1409.8643425,11200
56,-1655.6772230000001,-752.73811,-1502.709648,-1261.6159630000002,-1175.323339,-871.8537689999999,-1387.535143,-1742.911052,-1755.907021,-1521.683817,-1362.7955085,11400
57,-1446.1940849999999,-880.9552,-1151.9150769999999,-1292.657354,-855.0337509999999,-1480.095783,-1842.277584,-1788.200056,-1303.8017960000002,-850.5147630000001,-1289.1645449,11600
58,-1049.448005,-1636.65507,-1473.791582,-963.1401470000001,-1633.891521,-1761.2517070000001,-1711.765629,-1362.0997849999999,-661.214021,-871.284474,-1312.4541941,11800
59,-1293.7756650000001,-1129.131069,-1051.418067,-1506.901644,-1729.623132,-1664.743806,-1463.736524,-891.479232,-958.8737189999999,-1577.3844279999998,-1326.7067285999997,12000
60,-872.821671,-1682.1463420000002,-1482.351975,-1825.631154,-1495.4666550000002,-1306.477025,-893.5073560000001,-741.495142,-1525.976416,-1176.795399,-1300.2669135,12200
61,-1478.54051,-1334.3307849999999,-1819.9018870000002,-1671.863008,-1279.181253,-920.782808,-874.189312,-1651.932436,-973.9159589999999,-1653.375761,-1365.8013719,12400
62,-1699.496427,-1040.1879310000002,-1716.474003,-1310.957809,-759.68474,-875.460303,-1724.647623,-965.9928460000001,-1758.190468,-1331.121645,-1318.2213795,12600
63,-1732.0786859999998,-1413.6193779999999,-1334.6872210000001,-866.7426849999999,-856.004478,-1727.7487620000002,-1067.170574,-1856.1561780000002,-1229.609048,-1059.2383730000001,-1314.3055383,12800
64,-888.989977,-1488.294966,-952.9966599999999,-958.0949199999999,-1660.053314,-972.1223279999999,-1263.599733,-892.400412,-1652.689095,-1772.026134,-1250.1267538999998,13000
65,-729.019407,-1273.082461,-1262.897973,-1702.489193,-903.29713,-1223.5431449999999,-871.34909,-1580.0402689999999,-1783.393857,-1366.304384,-1269.5416909,13200
66,-1279.109882,-1356.203508,-1678.4996199999998,-846.2958279999999,-1184.699524,-977.9106009999999,-1680.7801550000001,-1416.727298,-1561.7883140000001,-1366.392327,-1334.8407057,13400
67,-1586.993027,-1071.158396,-895.477624,-973.5164279999999,-877.993969,-1647.3392529999999,-1548.7826400000001,-1486.834093,-1472.6616609999999,-1301.5530529999999,-1286.2310143999998,13600
68,-969.1211289999999,-860.854157,-1179.175424,-904.2217789999999,-1535.330008,-1579.425325,-1587.699675,-1302.704688,-1176.636517,-1001.0775869999999,-1209.6246288999998,13800
69,-1168.052997,-1142.389894,-874.6445460000001,-1619.423918,-1595.4101150000001,-1450.5883039999999,-1171.706536,-1265.034886,-857.044808,-859.006149,-1200.3302153,14000
70,-966.27138,-1053.520653,-1640.3059269999999,-1676.33771,-1533.685285,-1312.9323539999998,-1281.300208,-1161.682818,-634.034403,-868.510757,-1212.8581494999999,14200
71,-1681.8871100000001,-1699.4983719999998,-1534.6837269999999,-1375.666533,-1291.837955,-1237.065164,-1175.883376,-816.995225,-894.7033439999999,-962.086407,-1267.0307213,14400
72,-1733.2169809999998,-1176.473471,-1057.687488,-1079.31925,-877.576263,-753.988072,-971.9582460000001,-898.95237,-1321.14955,-891.950487,-1076.2272177999998,14600
73,-1291.876438,-1416.930504,-899.413899,-1150.0643519999999,-744.014657,-751.575253,-942.5229019999999,-1195.132169,-1141.162261,-1329.841808,-1086.2534242999998,14800
74,-869.4984019999999,-864.4282189999999,-780.977249,-934.589744,-758.811412,-854.168216,-1360.630127,-1103.315426,-1259.392326,-1381.710768,-1016.7521889,15000
75,-881.4955470000001,-882.4376970000001,-980.2121199999999,-885.7083,-777.787471,-1518.627601,-972.1466720000001,-1178.614697,-1316.067516,-973.9326380000001,-1036.7030259,15200
76,-765.209498,-893.013386,-998.4884609999999,-764.122844,-1443.158607,-1250.019397,-1075.4819289999998,-1165.803572,-1036.668533,-957.395931,-1034.9362158,15400
77,-866.298968,-1658.6961,-866.047479,-1352.377856,-940.3930550000001,-1106.259507,-1176.388125,-885.977433,-856.498649,-1050.0636539999998,-1075.9000826,15600
78,-878.523161,-891.37953,-1355.055714,-1074.517953,-1124.2692849999999,-1194.723857,-1035.411062,-992.7136849999999,-868.041616,-1461.539053,-1087.6174916000002,15800
79,-1294.9100779999999,-1072.547226,-1114.58644,-964.6959730000001,-1172.332468,-963.9348890000001,-961.324872,-1002.0410609999999,-1422.226078,-755.0229469999999,-1072.3622031999998,16000
80,-1073.930103,-1173.457804,-872.665544,-1043.4089689999998,-1511.495853,-976.257367,-751.85715,-1589.338314,-1293.835858,-759.1869230000001,-1104.5433885,16200
81,-894.1097269999999,-1063.32086,-1239.030249,-1565.5060939999998,-891.511207,-759.971609,-1582.2231179999999,-1188.6257,-967.086897,-987.076479,-1113.846194,16400
82,-1180.511378,-1330.7354300000002,-1433.8500490000001,-897.8801980000001,-757.007452,-1818.6435789999998,-1170.009284,-881.7603859999999,-1074.125272,-1075.621189,-1162.0144217,16600
83,-1414.899786,-1013.7907949999999,-885.336673,-891.505564,-1468.324981,-1188.464985,-937.9525890000001,-1140.3857369999998,-1070.668385,-1157.144976,-1116.8474471000002,16800
84,-1070.2878449999998,-1345.684573,-768.804212,-1527.894969,-1369.6250810000001,-987.2311599999999,-1254.562541,-974.939933,-968.8303689999999,-967.628882,-1123.5489565,17000
85,-753.579651,-894.382916,-1600.9975140000001,-1168.200752,-1002.218803,-1165.4781560000001,-1079.3949630000002,-964.544974,-864.4313900000001,-1253.4371800000001,-1074.6666299,17200
86,-1504.932676,-910.772486,-1337.5102259999999,-1168.543274,-996.822408,-971.797191,-1145.74389,-963.9441699999999,-1614.014379,-905.899298,-1151.9979998000001,17400
87,-1168.965844,-1600.570937,-1070.497643,-1066.0255710000001,-1058.728258,-1003.0306820000001,-871.3529619999999,-1417.5969,-1073.5904039999998,-851.0297390000001,-1118.138894,17600
88,-797.5909740000001,-1223.265542,-1425.12276,-1830.80518,-1468.741064,-1727.107735,-966.1595470000001,-1489.696379,-1229.5457529999999,-1526.214912,-1368.4249846,17800
89,-1319.289591,-962.170657,-1755.609005,-1569.361845,-1644.848164,-1072.616598,-1487.936196,-977.69932,-1665.178781,-867.5460289999999,-1332.2256186,18000
90,-1687.8794100000002,-848.825857,-1564.129849,-1558.53466,-970.832243,-1752.3235280000001,-1189.109737,-1706.986302,-999.2778400000001,-845.4394679999999,-1312.3338894000003,18200
91,-1573.9008099999999,-1612.373839,-1699.588889,-851.400626,-1769.389727,-1225.9488119999999,-1654.440583,-964.7183140000001,-883.2540720000001,-868.338068,-1310.3353739999998,18400
92,-1656.562925,-1417.788452,-1111.528485,-1521.371136,-1072.476136,-1635.5236869999999,-1179.198295,-1218.053092,-964.398948,-1591.001031,-1336.7902187,18600
93,-842.263905,-1132.241363,-1541.266153,-1265.312426,-1533.46664,-974.523653,-1209.746101,-947.044992,-1762.552307,-1293.19691,-1250.1614450000002,18800
94,-1464.285809,-1606.688193,-1179.550842,-1601.494399,-1069.525721,-968.182767,-973.354258,-1401.22339,-1575.504312,-967.7414970000001,-1280.7551188000002,19000
95,-1233.709716,-1503.498942,-1506.102083,-1070.526962,-1070.570983,-878.314732,-1738.857727,-1448.289334,-1161.802372,-1651.92109,-1326.3593941000001,19200
96,-1472.285187,-1215.390288,-1684.971959,-799.845538,-834.3739999999999,-1078.003105,-844.592826,-1222.0444710000002,-1401.933682,-1629.033014,-1218.2474070000003,19400
97,-1752.4050129999998,-1270.082715,-933.9649810000001,-957.9516169999999,-1071.533404,-1068.8368150000001,-1346.531517,-1449.584683,-1798.635864,-1252.990881,-1290.251749,19600
98,-804.0753530000001,-858.4500529999999,-976.6345449999999,-1204.650991,-912.795342,-1320.407388,-1457.938318,-1605.120553,-1251.300575,-1178.945789,-1157.0318906999998,19800
99,-933.68486,-766.20052,-1064.865757,-974.0720539999999,-1346.4151550000001,-1372.081514,-1581.717858,-1265.540125,-1210.712354,-868.666825,-1138.3957022,20000
100,-1064.055453,-1060.895107,-1231.527466,-1309.385787,-1511.785646,-1810.716726,-1156.003609,-1288.740711,-874.211213,-1041.701068,-1234.9022786,20200
101,-1091.930221,-974.808102,-882.020934,-1347.839209,-1823.351337,-1274.1051699999998,-972.9602,-982.255717,-861.5621890000001,-965.1622179999999,-1117.5995297,20400
102,-1211.915568,-1012.761197,-1358.693507,-1904.9294989999999,-1193.669483,-1295.903094,-884.459105,-866.437797,-871.3201050000001,-1295.5009949999999,-1189.5590350000002,20600
103,-1408.237847,-919.1048199999999,-1640.773379,-1171.322782,-1266.87311,-852.687143,-1014.277815,-887.069775,-1165.721205,-1061.066292,-1138.7134168,20800
104,-1204.5118929999999,-869.374741,-1225.9626349999999,-1747.247859,-1787.0759010000002,-876.6776269999999,-882.590557,-1593.057499,-1743.8419440000002,-1206.716837,-1313.7057493,21000
105,-1491.039151,-1657.9055859999999,-1825.935819,-1757.659154,-897.966714,-872.8406380000001,-1653.471708,-1492.560536,-1060.620838,-862.262274,-1357.2262418000005,21200
106,-1521.378488,-886.5384339999999,-1627.940608,-969.854855,-962.320699,-1737.9800530000002,-1616.479947,-1290.17281,-892.482241,-1670.087912,-1317.5236047000003,21400
107,-1685.132443,-1773.00624,-1196.3824439999999,-907.1542390000001,-1598.838192,-1617.772595,-1076.843529,-986.8431289999999,-1866.5137960000002,-1068.775987,-1377.7262594,21600
108,-902.640574,-894.876235,-969.1635789999999,-1770.9088359999998,-1361.2386119999999,-1326.366994,-893.265274,-1594.439774,-874.200526,-1669.395416,-1225.649582,21800
109,-976.2210859999999,-764.0600559999999,-1660.751248,-1604.896027,-1317.112412,-867.9216449999999,-1564.420703,-910.084415,-1626.1234359999999,-910.9716960000001,-1220.2562724,22000
110,-1850.835227,-976.9585710000001,-1418.744636,-1188.1324960000002,-1062.705498,-1757.115078,-1035.524889,-1714.8640829999997,-772.263866,-780.3760070000001,-1255.7520351,22200
111,-1525.30233,-1188.872626,-1179.220367,-869.768741,-1689.759016,-1071.494056,-1781.329329,-1026.646691,-945.197907,-1071.012997,-1234.860406,22400
112,-959.732916,-967.8338279999999,-1234.503197,-1463.219811,-1070.5019300000001,-1557.187878,-1759.914413,-1413.3189380000001,-1180.1237449999999,-1499.7371460000002,-1310.6073801999999,22600
113,-1175.24593,-1173.120508,-1621.591825,-1072.9833859999999,-1636.41212,-1739.227787,-1448.64461,-1175.0458199999998,-1489.991266,-776.699467,-1330.8962719,22800
114,-1519.090257,-1205.929516,-978.6114970000001,-1625.892006,-1692.52379,-1367.446165,-1074.575439,-1397.1473839999999,-912.6983150000001,-1078.38374,-1285.2298108999998,23000
115,-843.0399560000001,-1731.1839870000001,-1754.417034,-1790.911164,-1364.22243,-1070.882247,-1415.485155,-1072.628197,-1295.5816539999998,-1040.347651,-1337.8699474999999,23200
116,-1583.1637130000001,-1537.16841,-1791.6022480000001,-1547.478568,-967.134797,-1539.843695,-1093.0786,-1159.757451,-1103.883257,-1807.3160329999998,-1413.0426771999998,23400
117,-1610.761599,-1252.058544,-1375.385904,-1032.48529,-1529.800417,-990.0317259999999,-1065.8482470000001,-967.505684,-1785.3799239999998,-1730.643117,-1333.9900452000002,23600
118,-1328.729705,-875.0583230000001,-1055.607385,-1481.748504,-996.044359,-1163.787994,-1302.099314,-1849.0066370000002,-1634.568129,-1274.857099,-1296.1507449000003,23800
119,-1217.3425949999998,-972.5685710000001,-1604.646144,-856.3649140000001,-1317.0438609999999,-1171.81235,-1792.278773,-1640.804834,-1280.148135,-856.8148789999999,-1270.9825056,24000
120,-975.9086039999999,-962.362809,-1641.433344,-1416.962477,-1180.78553,-1706.0633899999998,-1763.0787899999998,-905.782732,-1056.256387,-1293.909826,-1290.2543889,24200
121,-1592.822013,-884.4317789999999,-1355.2425859999998,-1152.167885,-1729.782186,-1679.430184,-759.2403820000001,-1073.037267,-1319.925673,-905.026656,-1245.1106611,24400
122,-1299.404893,-763.4443200000001,-1289.930048,-1707.5959670000002,-1812.375618,-738.829543,-824.365453,-1176.9269259999999,-871.723384,-1097.68914,-1158.2285292000001,24600
