,r,r,r,r,r,r,r,r,r,r,mean_reward,timesteps
34,-968.5583320000001,-1393.963923,-1718.295222,-971.7753960000001,-978.765285,-1119.9366,-1729.175717,-1640.5646160000001,-1585.755672,-1232.6992779999998,-1333.9490040999997,7000
35,-1824.567209,-1060.42952,-1195.4051550000001,-1079.316382,-883.0348880000001,-1692.62255,-1569.220216,-1632.865925,-1365.514585,-1374.65122,-1367.762765,7200
36,-1533.270465,-998.9948800000001,-1287.325093,-1067.979866,-979.6910839999999,-849.2577150000001,-911.8707410000001,-774.6869320000001,-1462.174304,-1188.724512,-1105.3975592000002,7400
37,-1430.2955650000001,-1156.3734949999998,-758.235476,-741.742164,-750.438295,-885.581051,-876.900256,-1186.197473,-887.444738,-869.425141,-954.2633653999999,7600
38,-761.613686,-1015.830026,-965.3075699999999,-967.983585,-986.1089949999999,-809.6224599999999,-1522.978763,-745.437399,-1099.5310949999998,-1281.999497,-1015.6413076000001,7800
39,-1042.024444,-868.022618,-850.6947050000001,-878.7610710000001,-868.0222769999999,-1521.673965,-955.1195550000001,-1135.921342,-1072.403833,-961.854602,-1015.4498412,8000
40,-1111.6885109999998,-1076.014971,-1070.807828,-1287.3612779999999,-1420.5130359999998,-1005.535198,-744.378981,-1689.0838399999998,-1238.818452,-899.516196,-1154.3718291,8200
41,-870.5124210000001,-1300.962244,-1160.594018,-1553.816633,-1267.50992,-897.241664,-1747.9336050000002,-1264.990372,-1047.034762,-930.5119269999999,-1204.1107565999998,8400
42,-1275.137183,-962.2521630000001,-1363.8317140000001,-980.107318,-961.6834279999999,-1634.379085,-1075.777245,-915.469079,-1094.865204,-992.6519210000001,-1125.615434,8600
43,-1643.617534,-956.391933,-954.226392,-941.176933,-1697.6815379999998,-1197.4360570000001,-847.004265,-1281.435237,-1155.558133,-969.185423,-1164.3713445,8800
44,-968.944596,-1260.452533,-1314.517822,-1598.482083,-1756.062923,-1637.494555,-1059.4732490000001,-1471.900388,-1081.225097,-1385.196645,-1353.3749891,9000
45,-1277.665809,-875.371041,-1490.494563,-1577.811954,-1631.984447,-893.4277470000001,-1662.356859,-1276.304392,-1518.6600939999998,-1201.9023650000001,-1340.5979270999999,9200
46,-1790.5053300000002,-967.7830240000001,-1638.235449,-1482.975387,-968.381381,-1677.441749,-1179.106708,-1437.53434,-969.6350480000001,-855.7353619999999,-1296.7333778,9400
